Language,Provider,Filename,Lines,Code,Comments,Blanks,Complexity,Bytes,ULOC
SVG,shapes/539.svg,539.svg,6,6,0,0,0,847,0
SVG,shapes/5390.svg,5390.svg,6,6,0,0,0,677,0
SVG,shapes/5393.svg,5393.svg,11,11,0,0,0,2421,0
SVG,shapes/5394.svg,5394.svg,7,7,0,0,0,590,0
SVG,shapes/5395.svg,5395.svg,6,6,0,0,0,478,0
SVG,shapes/5396.svg,5396.svg,6,6,0,0,0,424,0
SVG,shapes/5397.svg,5397.svg,6,6,0,0,0,428,0
SVG,shapes/5398.svg,5398.svg,6,6,0,0,0,429,0
SVG,shapes/5399.svg,5399.svg,6,6,0,0,0,428,0
SVG,shapes/54.svg,54.svg,6,6,0,0,0,425,0
SVG,shapes/540.svg,540.svg,6,6,0,0,0,899,0
Plain Text,texts/5401.txt,5401.txt,3,3,0,0,0,33,0
Plain Text,texts/5402.txt,5402.txt,3,3,0,0,0,44,0
SVG,shapes/5406.svg,5406.svg,10,10,0,0,0,1116,0
Plain Text,texts/5407.txt,5407.txt,5,5,0,0,0,121,0
SVG,shapes/5408.svg,5408.svg,9,9,0,0,0,1067,0
Plain Text,texts/5409.txt,5409.txt,3,3,0,0,0,63,0
SVG,shapes/541.svg,541.svg,6,6,0,0,0,886,0
SVG,shapes/5410.svg,5410.svg,9,9,0,0,0,1081,0
Plain Text,texts/5411.txt,5411.txt,3,3,0,0,0,74,0
SVG,shapes/5412.svg,5412.svg,10,10,0,0,0,1645,0
Plain Text,texts/5413.txt,5413.txt,3,3,0,0,0,83,0
Plain Text,texts/5414.txt,5414.txt,5,5,0,0,0,157,0
SVG,shapes/5415.svg,5415.svg,9,9,0,0,0,1023,0
Plain Text,texts/5416.txt,5416.txt,5,5,0,0,0,119,0
SVG,shapes/5418.svg,5418.svg,6,6,0,0,0,480,0
SVG,shapes/5419.svg,5419.svg,6,6,0,0,0,503,0
SVG,shapes/542.svg,542.svg,6,6,0,0,0,982,0
Plain Text,texts/5420.txt,5420.txt,1,1,0,0,0,6,0
